Company,Type,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History,,
Patagonia,Apparel,"Hiking, Climbing, Surfing, Skiing",1973,~$1.5 B annual revenue (2022)​en.wikipedia.org,Private - Family Owned,(Chouinard family via Patagonia Purpose Trust; certified B Corp)​patagoniaworks.com,,"Ventura, California, USA​patagoniaworks.com",Global (factories in 16 countries)​en.wikipedia.org,Certified B Corporation; founding member of 1% for the Planet​patagoniaworks.com; early adopter of Bluesign® materials and Fair Trade sewing (making Fair Trade Certified™ clothes since 2014)​patagonia.com; aggressive climate initiatives (aiming for carbon neutrality by 2025)​selflessclothes.com,Grew organically (no major acquisitions).,,
The North Face,Apparel,Mountaineering & Hiking,1966,~$3.6 B annual revenue (FY2023)​thestrategystory.com,Public,owned by VF Corporation since 2000,VF Corporation,"Alameda, California, USA​d1io3yog0oux5.cloudfront.net
 (VF moving HQ to Denver)",Primarily outsourced (Asia manufacturing),Runs “Clothes the Loop” recycling program for used gear​vizologi.com; set goal for 100% renewable energy in all owned facilities by 2025​vizologi.com; uses Responsible Down Standard for insulation and other sustainability initiatives under VF’s Climate Action framework.,"Acquired by VF Corp in 2000​; no significant subsidiaries (parent VF acquired other brands like Timberland, Icebreaker, etc.).",,
Arc’teryx,"Apparel, Equipment",Climbing & Alpine,1989 (rebranded 1991)​en.wikipedia.org,,Public,Subsidiary of Amer Sports NYSE:AS - https://finance.yahoo.com/quote/AS/,Amer Sports,"North Vancouver, B.C., Canada​en.wikipedia.org","Canada (some in-house production) and Asia (China, Vietnam, etc.)​en.wikipedia.org","Bluesign® system partner (uses a restricted substance list to ensure safer materials)​arcteryx.com; eliminating PFAS in waterproof gear (introduced PFAS-free ePE membrane in new Gore-Tex products)​arcteryx.com
​arcteryx.com; various corporate sustainability commitments (e.g. reducing carbon footprint).","Acquired by Salomon (Adidas) in 2001, then by Amer Sports in 2005​; Amer Sports (including Arc’teryx) acquired by Anta Sports in 2019​.",,
Columbia Sportswear,Apparel,Hiking & Outdoor Apparel,1938,$3.4 B annual revenue (2022)​en.wikipedia.org,Public,NASDAQ: COLM – family-controlled by Boyle family; IPO in 1998,,"Cedar Mill (Portland), Oregon, USA​en.wikipedia.org","Global (outsourced manufacturing in Asia, etc.)","Launched the ReThreads in-store program to recycle used clothing/footwear (rolled out to 100+ stores in 2017)​investor.columbia.com; uses sustainable materials (recycled polyester, undyed fabrics, etc.) and adheres to corporate responsibility standards; member of Sustainable Apparel Coalition.",Grew via acquisitions: Sorel (2000)​en.wikipedia.org; Mountain Hardwear (2003)​en.wikipedia.org; Montrail (2006)​en.wikipedia.org; prAna (2014)​en.wikipedia.org; also acquired OutDry waterproofing technology (2010).,,
Black Diamond Equipment,Equipment,Climbing & Ski Gear,1989,"~$240 M est. revenue (Clarus Corp, 2022)",Public,owned by Clarus Corporation since 2010; NASDAQ: CLAR,Clarus,"Holladay, Utah, USA​en.wikipedia.org","USA and Asia (Utah facility; factory in Zhuhai, China)​en.wikipedia.org","Emphasizes corporate responsibility: recycles manufacturing waste, uses wind and solar power at facilities, and supports environmental non-profits​en.wikipedia.org; products are built to last (safety-critical gear) and the company advocates for public lands conservation.",Formed from Chouinard Equipment’s assets in 1989​; acquired Pieps (avalanche safety gear) in 2012 and POC sports in 2012 (sold POC in 2015)​en.wikipedia.org.,,
Cotopaxi,"Apparel, Accessories",Hiking & Travel Gear,2014,,Private,(Certified Benefit Corporation; Bain Capital Double Impact took minority stake in 2021)​,,"Salt Lake City, Utah, USA​baincapital.com","Various (partners in Philippines, China, etc. with ethical sourcing)","Certified B Corporation and Climate Neutral Certified​yarnsandfibers.com; member of 1% for the Planet​yarnsandfibers.com; uses predominantly recycled or repurposed materials (94% of products contain recycled content)​yarnsandfibers.com; every product purchase helps fund poverty alleviation (portion of revenue to Cotopaxi Foundation)​theclimatepledge.com
​theclimatepledge.com.",No acquisitions (rapid organic growth since founding); received impact investment from Bain Capital in 2021​.,,
prAna,Apparel,Climbing/Yoga Apparel,1992,(Part of Columbia Sportswear; ~$100 M+ revenue),Public,Columbia Sportswear subsidiary (acquired in 2014 for $190 M cash),Columbia Sportswear,"Carlsbad, California, USA​ranchandcoast.com","Worldwide (contract factories, primarily in Asia)","Pioneered sustainable clothing: early adopter of organic cotton and recycled materials; Fair Trade Certified™ factories program (significant portion of line produced in Fair Trade factories)​prana.com
​prana.com; Bluesign® partner ensuring safer chemical use in production​prana.com; eliminated plastic packaging (poly bags) by 2021 through its Responsible Packaging Movement​prana.com.","Founded independently; acquired by Columbia Sportswear in 2014​
. (No acquisitions of its own.)",,
Therm-a-Rest,Equipment,Hiking/Camping Gear,1972,est. ~$150 M sales,Private,family-founded; still led from Seattle; includes employee ownership ethos,Cascade Designs,"Seattle, Washington, USA​en.wikipedia.org",USA (Seattle & Reno facilities)​en.wikipedia.org,"Emphasizes durable, repairable products to reduce waste​cascadedesigns.com
​cascadedesigns.com; committed to minimize environmental impact via safer materials and packaging​cascadedesigns.com; aiming for net-zero carbon by 2050 (measuring and reducing footprint)​cascadedesigns.com.","Acquired Mountain Safety Research (MSR, maker of stoves and gear) in 2001​; also created or absorbed brands like Platypus, SealLine, PackTowl (internally).",,
MSR,Equipment,Hiking/Camping Gear,1972,est. ~$150 M sales,Private,family-founded; still led from Seattle; includes employee ownership ethos,Cascade Designs,"Seattle, Washington, USA​en.wikipedia.org",USA (Seattle & Reno facilities)​en.wikipedia.org,"Emphasizes durable, repairable products to reduce waste​; committed to minimize environmental impact via safer materials and packaging​; aiming for net-zero carbon by 2050 (measuring and reducing footprint)​.",,,
Burton (Burton Snowboards),Equipment,Snowboarding,1977,~$500 M+ est. revenue,Private,family-owned by founder’s family; Certified B Corp since 2019,,"Burlington, Vermont, USA​bcorporation.net",Austria (owned snowboard factory) and Asia (apparel & gear)​bcorporation.net,Sustainability leader in winter sports – first snowboard company certified as a B Corp​; uses Bluesign® approved materials for most products and targets 100% bluesign fabrics by 2025; Fair Labor Association accredited supply chain​; runs take-back programs for used gear and has aggressive 2030 goals for carbon reduction.,"Acquired Channel Islands Surfboards in 2006 (sold back to the Merrick family/employees in 2020)​shop-eat-surf-outdoor.com
​shop-eat-surf-outdoor.com
; previously acquired Forum, Jeenyus, and other snowboard brands (later shuttered).",,
